nohup: ignoring input
Use GPU: 1 for training
=> creating model 'mobilenet_v2'
Use GPU: 0 for training
=> creating model 'mobilenet_v2'
Epoch: [0][  310/10010]	Time  0.160 ( 0.190)	Data  0.000 ( 0.037)	Loss 6.7615e+00 (6.8221e+00)	Acc@1   0.00 (  0.47)	Acc@5   0.00 (  1.82)
Epoch: [0][  320/10010]	Time  0.160 ( 0.189)	Data  0.000 ( 0.036)	Loss 6.5523e+00 (6.8159e+00)	Acc@1   1.56 (  0.47)	Acc@5   3.12 (  1.83)
Epoch: [0][  330/10010]	Time  0.160 ( 0.188)	Data  0.000 ( 0.036)	Loss 6.5974e+00 (6.8086e+00)	Acc@1   0.00 (  0.49)	Acc@5   3.12 (  1.86)
Epoch: [0][  340/10010]	Time  0.161 ( 0.188)	Data  0.000 ( 0.035)	Loss 6.5236e+00 (6.8007e+00)	Acc@1   1.56 (  0.49)	Acc@5   4.69 (  1.89)
Epoch: [0][  350/10010]	Time  0.156 ( 0.187)	Data  0.000 ( 0.034)	Loss 6.5817e+00 (6.7925e+00)	Acc@1   0.00 (  0.50)	Acc@5   0.00 (  1.92)
Epoch: [0][  360/10010]	Time  0.161 ( 0.186)	Data  0.000 ( 0.033)	Loss 6.2366e+00 (6.7835e+00)	Acc@1   1.56 (  0.51)	Acc@5   7.81 (  1.95)
Epoch: [0][  370/10010]	Time  0.160 ( 0.185)	Data  0.000 ( 0.033)	Loss 6.6809e+00 (6.7769e+00)	Acc@1   0.00 (  0.51)	Acc@5   1.56 (  1.98)
Epoch: [0][  380/10010]	Time  0.160 ( 0.185)	Data  0.000 ( 0.032)	Loss 6.4263e+00 (6.7689e+00)	Acc@1   1.56 (  0.51)	Acc@5   3.12 (  1.99)
Epoch: [0][  390/10010]	Time  0.160 ( 0.184)	Data  0.000 ( 0.031)	Loss 6.5005e+00 (6.7615e+00)	Acc@1   0.00 (  0.51)	Acc@5   3.12 (  2.02)
Epoch: [0][  400/10010]	Time  0.160 ( 0.184)	Data  0.000 ( 0.031)	Loss 6.5129e+00 (6.7554e+00)	Acc@1   1.56 (  0.52)	Acc@5   3.12 (  2.03)
Epoch: [0][  410/10010]	Time  0.160 ( 0.183)	Data  0.000 ( 0.030)	Loss 6.6639e+00 (6.7485e+00)	Acc@1   0.00 (  0.52)	Acc@5   1.56 (  2.05)
Epoch: [0][  420/10010]	Time  0.160 ( 0.183)	Data  0.000 ( 0.030)	Loss 6.5181e+00 (6.7414e+00)	Acc@1   1.56 (  0.53)	Acc@5   1.56 (  2.09)
Epoch: [0][  430/10010]	Time  0.160 ( 0.182)	Data  0.000 ( 0.029)	Loss 6.5365e+00 (6.7335e+00)	Acc@1   0.00 (  0.54)	Acc@5   3.12 (  2.13)
Epoch: [0][  440/10010]	Time  0.160 ( 0.182)	Data  0.000 ( 0.029)	Loss 6.3857e+00 (6.7256e+00)	Acc@1   0.00 (  0.54)	Acc@5   3.12 (  2.18)
Epoch: [0][  450/10010]	Time  0.159 ( 0.181)	Data  0.000 ( 0.028)	Loss 6.5135e+00 (6.7184e+00)	Acc@1   0.00 (  0.56)	Acc@5   1.56 (  2.20)
Epoch: [0][  460/10010]	Time  0.160 ( 0.181)	Data  0.000 ( 0.028)	Loss 6.3969e+00 (6.7109e+00)	Acc@1   1.56 (  0.56)	Acc@5   3.12 (  2.24)
Epoch: [0][  470/10010]	Time  0.161 ( 0.180)	Data  0.000 ( 0.027)	Loss 6.1927e+00 (6.7036e+00)	Acc@1   0.00 (  0.57)	Acc@5   1.56 (  2.27)
Epoch: [0][  480/10010]	Time  0.166 ( 0.180)	Data  0.000 ( 0.027)	Loss 6.3697e+00 (6.6975e+00)	Acc@1   1.56 (  0.57)	Acc@5   4.69 (  2.31)
Epoch: [0][  490/10010]	Time  0.159 ( 0.179)	Data  0.000 ( 0.026)	Loss 6.3650e+00 (6.6904e+00)	Acc@1   0.00 (  0.58)	Acc@5   3.12 (  2.35)
Epoch: [0][  500/10010]	Time  0.161 ( 0.179)	Data  0.000 ( 0.026)	Loss 6.4744e+00 (6.6854e+00)	Acc@1   1.56 (  0.61)	Acc@5   3.12 (  2.41)
Epoch: [0][  510/10010]	Time  0.161 ( 0.179)	Data  0.000 ( 0.026)	Loss 6.3312e+00 (6.6792e+00)	Acc@1   0.00 (  0.62)	Acc@5   7.81 (  2.46)
Epoch: [0][  520/10010]	Time  0.160 ( 0.178)	Data  0.000 ( 0.025)	Loss 6.3937e+00 (6.6726e+00)	Acc@1   3.12 (  0.64)	Acc@5   4.69 (  2.49)
Epoch: [0][  530/10010]	Time  0.158 ( 0.178)	Data  0.000 ( 0.025)	Loss 6.5729e+00 (6.6666e+00)	Acc@1   0.00 (  0.65)	Acc@5   6.25 (  2.56)
Epoch: [0][  540/10010]	Time  0.160 ( 0.178)	Data  0.000 ( 0.025)	Loss 6.5901e+00 (6.6614e+00)	Acc@1   0.00 (  0.66)	Acc@5   1.56 (  2.60)
Epoch: [0][  550/10010]	Time  0.161 ( 0.177)	Data  0.000 ( 0.024)	Loss 6.2686e+00 (6.6564e+00)	Acc@1   1.56 (  0.68)	Acc@5   3.12 (  2.63)
Epoch: [0][  560/10010]	Time  0.160 ( 0.177)	Data  0.000 ( 0.024)	Loss 6.1768e+00 (6.6513e+00)	Acc@1   1.56 (  0.68)	Acc@5  10.94 (  2.66)
Epoch: [0][  570/10010]	Time  0.157 ( 0.177)	Data  0.000 ( 0.024)	Loss 6.2697e+00 (6.6453e+00)	Acc@1   3.12 (  0.68)	Acc@5   7.81 (  2.68)
Epoch: [0][  580/10010]	Time  0.164 ( 0.176)	Data  0.000 ( 0.023)	Loss 6.3053e+00 (6.6396e+00)	Acc@1   0.00 (  0.69)	Acc@5   4.69 (  2.71)Epoch: [0][    0/10010]	Time 10.324 (10.324)	Data  9.391 ( 9.391)	Loss 6.9408e+00 (6.9408e+00)	Acc@1   0.00 (  0.00)	Acc@5   1.56 (  1.56)
Epoch: [0][   10/10010]	Time  0.154 ( 1.072)	Data  0.000 ( 0.854)	Loss 7.1760e+00 (7.0195e+00)	Acc@1   0.00 (  0.28)	Acc@5   0.00 (  0.85)
Epoch: [0][   20/10010]	Time  0.153 ( 0.635)	Data  0.000 ( 0.451)	Loss 7.2556e+00 (7.0990e+00)	Acc@1   0.00 (  0.45)	Acc@5   0.00 (  0.97)
Epoch: [0][   30/10010]	Time  0.154 ( 0.480)	Data  0.000 ( 0.307)	Loss 7.0800e+00 (7.1501e+00)	Acc@1   0.00 (  0.30)	Acc@5   0.00 (  0.71)
Epoch: [0][   40/10010]	Time  0.154 ( 0.400)	Data  0.000 ( 0.234)	Loss 7.2476e+00 (7.1635e+00)	Acc@1   0.00 (  0.27)	Acc@5   0.00 (  0.72)
Epoch: [0][   50/10010]	Time  0.155 ( 0.352)	Data  0.000 ( 0.190)	Loss 7.0081e+00 (7.1498e+00)	Acc@1   1.56 (  0.34)	Acc@5   3.12 (  0.83)
Epoch: [0][   60/10010]	Time  0.154 ( 0.320)	Data  0.000 ( 0.160)	Loss 6.8677e+00 (7.1307e+00)	Acc@1   0.00 (  0.31)	Acc@5   0.00 (  0.85)
Epoch: [0][   70/10010]	Time  0.154 ( 0.296)	Data  0.000 ( 0.138)	Loss 6.9592e+00 (7.1162e+00)	Acc@1   0.00 (  0.29)	Acc@5   1.56 (  0.81)
Epoch: [0][   80/10010]	Time  0.154 ( 0.279)	Data  0.000 ( 0.122)	Loss 6.9010e+00 (7.0948e+00)	Acc@1   3.12 (  0.31)	Acc@5   3.12 (  0.91)
